BATTER,Dismissal,R,B,M,4s,6s,SR,URL,Match
Tyson Gordon ,lbw b Samiullah Shinwari,4,3,-,0,0,133.33,/cricketers/tyson-gordon-208755,afghanistan vs canada
Harvir Baidwan ,c Izatullah Dawlatzai b Samiullah Shinwari,0,1,-,0,0,0,/cricketers/harvir-baidwan-355583,afghanistan vs canada
Rustam Bhatti †,not out ,11,22,-,0,0,50,/cricketers/rustam-bhatti-307077,afghanistan vs canada
William Porterfield (c), b Sharif,2,5,-,0,0,40,/cricketers/william-porterfield-24611,ireland vs scotland
Paul Stirling ,c Mommsen b Parker,0,1,-,0,0,0,/cricketers/paul-stirling-303427,ireland vs scotland
Ed Joyce ,not out ,78,58,-,6,3,134.48,/cricketers/ed-joyce-24249,ireland vs scotland
Alex Cusack ,st †Wallace b Haq,22,13,-,5,0,169.23,/cricketers/alex-cusack-293983,ireland vs scotland
Kevin O'Brien , b Mommsen,16,13,-,0,1,123.07,/cricketers/kevin-o-brien-24605,ireland vs scotland
Richie Berrington , b Johnston,0,2,-,0,0,0,/cricketers/richie-berrington-25490,ireland vs scotland
Calum MacLeod ,lbw b Rankin,5,6,-,1,0,83.33,/cricketers/calum-macleod-232435,ireland vs scotland
Preston Mommsen ,lbw b Johnston,13,11,-,3,0,118.18,/cricketers/preston-mommsen-461281,ireland vs scotland
Kyle Coetzer (c),c & b O'Brien,62,52,-,2,4,119.23,/cricketers/kyle-coetzer-25446,ireland vs scotland
Fraser Watts ,c Johnston b O'Brien,33,29,-,1,1,113.79,/cricketers/fraser-watts-25120,ireland vs scotland
Jan Stander ,run out (Porterfield/O'Brien),0,0,-,0,0,-,/cricketers/jan-stander-298195,ireland vs scotland
Ryan Flannigan ,c Johnston b O'Brien,18,13,-,1,0,138.46,/cricketers/ryan-flannigan-303412,ireland vs scotland
Stephan Myburgh , b Karim Sadiq,19,17,-,3,0,111.76,/cricketers/stephan-myburgh-233712,afghanistan vs netherlands
Michael Swart ,lbw b Samiullah Shinwari,22,16,-,3,0,137.5,/cricketers/michael-swart-308794,afghanistan vs netherlands
Tom Cooper ,run out (Samiullah Shinwari),7,11,-,0,0,63.63,/cricketers/tom-cooper-219885,afghanistan vs netherlands
Alexei Kervezee ,not out ,58,43,-,0,3,134.88,/cricketers/alexei-kervezee-214695,afghanistan vs netherlands
Wesley Barresi †, b Izatullah Dawlatzai,14,13,-,1,0,107.69,/cricketers/wesley-barresi-44407,afghanistan vs netherlands
Peter Borren (c),c †Mohammad Shahzad b Izatullah Dawlatzai,5,8,-,0,0,62.5,/cricketers/peter-borren-36592,afghanistan vs netherlands
Karim Sadiq ,c Seelaar b Mudassar Bukhari,11,9,-,2,0,122.22,/cricketers/karim-sadiq-319758,afghanistan vs netherlands
Gulbadin Naib ,c de Grooth b Borren,5,16,-,0,0,31.25,/cricketers/gulbadin-naib-352048,afghanistan vs netherlands
Mohammad Shahzad †,lbw b Ahsan Malik,54,44,-,8,0,122.72,/cricketers/mohammad-shahzad-419873,afghanistan vs netherlands
Nawroz Mangal (c),c Cooper b Ahsan Malik,26,19,-,2,1,136.84,/cricketers/nawroz-mangal-318334,afghanistan vs netherlands
Mohammad Nabi ,c Myburgh b Swart,22,13,-,3,0,169.23,/cricketers/mohammad-nabi-25913,afghanistan vs netherlands
Samiullah Shinwari ,not out ,9,10,-,0,0,90,/cricketers/samiullah-shinwari-318339,afghanistan vs netherlands
Duncan Allan , b Rankin,3,8,-,0,0,37.5,/cricketers/duncan-allan-472153,ireland vs kenya
Alex Obanda ,c †Wilson b Rankin,0,1,-,0,0,0,/cricketers/alex-obanda-291844,ireland vs kenya
Nehemiah Odhiambo , b Johnston,4,12,-,1,0,33.33,/cricketers/nehemiah-odhiambo-238612,ireland vs kenya
Collins Obuya (c),c Cusack b Rankin,0,2,-,0,0,0,/cricketers/collins-obuya-24752,ireland vs kenya
Tanmay Mishra ,c Cusack b Mooney,28,32,-,3,0,87.5,/cricketers/tanmay-mishra-24790,ireland vs kenya
Rakep Patel ,c †Wilson b Cusack,2,5,-,0,0,40,/cricketers/rakep-patel-267455,ireland vs kenya
Ragheb Aga ,lbw b Cusack,3,8,-,0,0,37.5,/cricketers/ragheb-aga-24716,ireland vs kenya
David Obuya †,c †Wilson b Mooney,8,22,-,0,0,36.36,/cricketers/david-obuya-24760,ireland vs kenya
Shem Ngoche ,lbw b Dockrell,0,2,-,0,0,0,/cricketers/shem-ngoche-308515,ireland vs kenya
Stephan Myburgh ,c Baidwan b Rizwan Cheema,16,20,-,3,0,80,/cricketers/stephan-myburgh-233712,canada vs netherlands
Michael Swart , b Junaid Siddiqui,3,4,-,0,0,75,/cricketers/michael-swart-308794,canada vs netherlands
Tom Cooper , b Baidwan,29,25,-,3,0,116,/cricketers/tom-cooper-219885,canada vs netherlands
Alexei Kervezee , b Baidwan,29,32,-,0,0,90.62,/cricketers/alexei-kervezee-214695,canada vs netherlands
Wesley Barresi †,c Zahid Hussain b Baidwan,3,7,-,0,0,42.85,/cricketers/wesley-barresi-44407,canada vs netherlands
Peter Borren (c),run out (Kumar),11,9,-,1,0,122.22,/cricketers/peter-borren-36592,canada vs netherlands
Hiral Patel , b Borren,11,17,-,0,0,64.7,/cricketers/hiral-patel-414248,canada vs netherlands
Ruvindu Gunasekera , b van der Gugten,9,13,-,1,0,69.23,/cricketers/ruvindu-gunasekera-307075,canada vs netherlands
Raza-ur-Rehman , b Mudassar Bukhari,1,4,-,0,0,25,/cricketers/raza-ur-rehman-259413,canada vs netherlands
Rizwan Cheema (c),lbw b Mudassar Bukhari,0,2,-,0,0,0,/cricketers/rizwan-cheema-361952,canada vs netherlands
Nitish Kumar ,run out (Myburgh),1,4,-,0,0,25,/cricketers/nitish-kumar-348129,canada vs netherlands
Jimmy Hansra ,c Borren b Ahsan Malik,30,31,-,1,2,96.77,/cricketers/jimmy-hansra-418615,canada vs netherlands
Harvir Baidwan , b Seelaar,21,14,-,2,0,150,/cricketers/harvir-baidwan-355583,canada vs netherlands
Rustam Bhatti †,c & b Seelaar,6,7,-,0,0,85.71,/cricketers/rustam-bhatti-307077,canada vs netherlands
Junaid Siddiqui ,lbw b Seelaar,1,3,-,0,0,33.33,/cricketers/junaid-siddiqui-494847,canada vs netherlands
Richie Berrington ,st †DO Obuya b JO Ngoche,28,16,-,4,0,175,/cricketers/richie-berrington-25490,kenya vs scotland
Calum MacLeod ,c & b Patel,55,35,-,7,0,157.14,/cricketers/calum-macleod-232435,kenya vs scotland
Jan Stander ,lbw b SO Ngoche,3,4,-,0,0,75,/cricketers/jan-stander-298195,kenya vs scotland
Kyle Coetzer ,c Patel b CO Obuya,46,36,-,6,1,127.77,/cricketers/kyle-coetzer-25446,kenya vs scotland
Gordon Goudie ,c CO Obuya b Aga,4,7,-,0,0,57.14,/cricketers/gordon-goudie-25476,kenya vs scotland
Preston Mommsen ,not out ,22,15,-,2,0,146.66,/cricketers/preston-mommsen-461281,kenya vs scotland
Gordon Drummond (c),run out (SO Ngoche),0,0,-,0,0,-,/cricketers/gordon-drummond-295644,kenya vs scotland
Duncan Allan ,lbw b Haq,17,18,-,3,0,94.44,/cricketers/duncan-allan-472153,kenya vs scotland
Alex Obanda ,c †Wallace b Mommsen,35,17,-,6,1,205.88,/cricketers/alex-obanda-291844,kenya vs scotland
Collins Obuya (c),c †Wallace b Drummond,50,36,-,4,1,138.88,/cricketers/collins-obuya-24752,kenya vs scotland
Tanmay Mishra , b Drummond,8,8,-,0,0,100,/cricketers/tanmay-mishra-24790,kenya vs scotland
Rakep Patel ,run out (Berrington/†Wallace),21,13,-,1,1,161.53,/cricketers/rakep-patel-267455,kenya vs scotland
Ragheb Aga ,c Coetzer b Drummond,2,6,-,0,0,33.33,/cricketers/ragheb-aga-24716,kenya vs scotland
Nehemiah Odhiambo ,lbw b Haq,8,6,-,1,0,133.33,/cricketers/nehemiah-odhiambo-238612,kenya vs scotland
David Obuya †,c Haq b Sharif,7,10,-,0,0,70,/cricketers/david-obuya-24760,kenya vs scotland
Shem Ngoche ,run out (Berrington/†Wallace),4,5,-,0,0,80,/cricketers/shem-ngoche-308515,kenya vs scotland
Kevin Pietersen ,not out ,62,52,91,6,1,119.23,/cricketers/kevin-pietersen-19296,england vs pakistan
Craig Kieswetter †,c Shoaib Malik b Saeed Ajmal,17,17,21,1,1,100,/cricketers/craig-kieswetter-230855,england vs pakistan
Ravi Bopara ,c †Umar Akmal b Aizaz Cheema,1,2,4,0,0,50,/cricketers/ravi-bopara-10582,england vs pakistan
Eoin Morgan ,run out (Misbah-ul-Haq/Shahid Afridi),9,11,15,0,0,81.81,/cricketers/eoin-morgan-24598,england vs pakistan
Jonny Bairstow , b Saeed Ajmal,3,8,9,0,0,37.5,/cricketers/jonny-bairstow-297433,england vs pakistan
Jos Buttler ,lbw b Saeed Ajmal,7,13,14,0,0,53.84,/cricketers/jos-buttler-308967,england vs pakistan
Awais Zia ,lbw b Swann,23,28,33,1,1,82.14,/cricketers/awais-zia-278491,england vs pakistan
Mohammad Hafeez ,c & b Dernbach,0,1,5,0,0,0,/cricketers/mohammad-hafeez-41434,england vs pakistan
Asad Shafiq ,run out (Buttler/†Kieswetter),34,32,48,3,0,106.25,/cricketers/asad-shafiq-316397,england vs pakistan
Misbah-ul-Haq (c), b Dernbach,28,32,56,2,0,87.5,/cricketers/misbah-ul-haq-41378,england vs pakistan
Umar Akmal †,c Swann b Broad,22,23,25,1,0,95.65,/cricketers/umar-akmal-317273,england vs pakistan
Kevin Pietersen ,c Umar Gul b Saeed Ajmal,17,13,22,3,0,130.76,/cricketers/kevin-pietersen-19296,england vs pakistan
Craig Kieswetter †,c Umar Gul b Shahid Afridi,31,24,46,2,1,129.16,/cricketers/craig-kieswetter-230855,england vs pakistan
Ravi Bopara ,lbw b Umar Gul,1,4,7,0,0,25,/cricketers/ravi-bopara-10582,england vs pakistan
Eoin Morgan ,lbw b Mohammad Hafeez,9,7,7,2,0,128.57,/cricketers/eoin-morgan-24598,england vs pakistan
Jonny Bairstow ,not out ,60,46,57,5,2,130.43,/cricketers/jonny-bairstow-297433,england vs pakistan
Samit Patel ,run out (Saeed Ajmal),13,13,24,1,0,100,/cricketers/samit-patel-18632,england vs pakistan
Jos Buttler , b Umar Gul,7,8,11,1,0,87.5,/cricketers/jos-buttler-308967,england vs pakistan
Mohammad Hafeez ,c Pietersen b Finn,0,2,2,0,0,0,/cricketers/mohammad-hafeez-41434,england vs pakistan
Awais Zia ,c Dernbach b Broad,6,12,32,0,1,50,/cricketers/awais-zia-278491,england vs pakistan
Asad Shafiq ,c & b Dernbach,1,5,6,0,0,20,/cricketers/asad-shafiq-316397,england vs pakistan
Umar Akmal †,c Morgan b Finn,19,12,15,2,1,158.33,/cricketers/umar-akmal-317273,england vs pakistan
Shoaib Malik ,c Bairstow b Swann,12,11,21,0,0,109.09,/cricketers/shoaib-malik-42657,england vs pakistan
Misbah-ul-Haq (c),c Bairstow b Swann,13,24,26,1,0,54.16,/cricketers/misbah-ul-haq-41378,england vs pakistan
Shahid Afridi ,c Morgan b Broad,25,23,46,2,1,108.69,/cricketers/shahid-afridi-42639,england vs pakistan
Hammad Azam ,c Buttler b Bopara,21,15,13,3,1,140,/cricketers/hammad-azam-384518,england vs pakistan
Umar Gul ,c †Kieswetter b Finn,10,4,6,1,1,250,/cricketers/umar-gul-43524,england vs pakistan
William Porterfield (c),c Mishra b SO Ngoche,3,7,9,0,0,42.85,/cricketers/william-porterfield-24611,kenya vs ireland
Paul Stirling ,run out (Varaiya),0,0,1,0,0,-,/cricketers/paul-stirling-303427,kenya vs ireland
Kevin O'Brien ,c Varaiya b SO Ngoche,4,4,2,1,0,100,/cricketers/kevin-o-brien-24605,kenya vs ireland
Gary Wilson ,run out (CO Obuya),32,38,44,4,0,84.21,/cricketers/gary-wilson-24609,kenya vs ireland
Ed Joyce , b SO Ngoche,38,46,55,3,0,82.6,/cricketers/ed-joyce-24249,kenya vs ireland
John Mooney ,c Allan b Varaiya,5,7,9,0,0,71.42,/cricketers/john-mooney-24237,kenya vs ireland
Nigel Jones ,c SO Ngoche b Varaiya,0,3,2,0,0,0,/cricketers/nigel-jones-406308,kenya vs ireland
Andrew White , b SO Ngoche,5,5,7,1,0,100,/cricketers/andrew-white-24286,kenya vs ireland
Rory McCann †, b Odhiambo,1,2,2,0,0,50,/cricketers/rory-mccann-463215,kenya vs ireland
David Obuya †,lbw b Rankin,3,10,6,0,0,30,/cricketers/david-obuya-24760,kenya vs ireland
Duncan Allan ,st †McCann b Dockrell,1,7,10,0,0,14.28,/cricketers/duncan-allan-472153,kenya vs ireland
Collins Obuya (c), b Rankin,42,38,38,5,0,110.52,/cricketers/collins-obuya-24752,kenya vs ireland
Tanmay Mishra ,c Porterfield b White,37,40,54,2,0,92.5,/cricketers/tanmay-mishra-24790,kenya vs ireland
Rakep Patel ,st †McCann b White,1,3,4,0,0,33.33,/cricketers/rakep-patel-267455,kenya vs ireland
Ragheb Aga ,c & b Dockrell,12,12,10,0,0,100,/cricketers/ragheb-aga-24716,kenya vs ireland
Alex Obanda ,c Porterfield b Mooney,3,7,11,0,0,42.85,/cricketers/alex-obanda-291844,kenya vs ireland
Mohammad Hafeez ,c Bairstow b Swann,23,22,44,3,0,104.54,/cricketers/mohammad-hafeez-41434,england vs pakistan
Awais Zia ,c Broad b Finn,18,12,15,1,1,150,/cricketers/awais-zia-278491,england vs pakistan
Asad Shafiq ,run out (†Kieswetter/Swann),19,17,27,2,0,111.76,/cricketers/asad-shafiq-316397,england vs pakistan
Shahid Afridi ,c Morgan b Swann,7,7,9,1,0,100,/cricketers/shahid-afridi-42639,england vs pakistan
Misbah-ul-Haq (c),not out ,26,26,50,1,1,100,/cricketers/misbah-ul-haq-41378,england vs pakistan
Kevin Pietersen ,c Asad Shafiq b Shahid Afridi,33,21,26,4,1,157.14,/cricketers/kevin-pietersen-19296,england vs pakistan
Craig Kieswetter †, b Mohammad Hafeez,14,18,32,2,0,77.77,/cricketers/craig-kieswetter-230855,england vs pakistan
Ravi Bopara , b Umar Gul,39,32,42,2,1,121.87,/cricketers/ravi-bopara-10582,england vs pakistan
Eoin Morgan , b Mohammad Hafeez,14,16,17,1,0,87.5,/cricketers/eoin-morgan-24598,england vs pakistan
Jonny Bairstow ,not out ,22,21,40,0,0,104.76,/cricketers/jonny-bairstow-297433,england vs pakistan
Jos Buttler ,c Saeed Ajmal b Umar Gul,3,4,6,0,0,75,/cricketers/jos-buttler-308967,england vs pakistan
David Obuya †,lbw b Stirling,28,35,-,2,0,80,/cricketers/david-obuya-24760,kenya vs ireland
Duncan Allan , b Stirling,6,15,-,0,0,40,/cricketers/duncan-allan-472153,kenya vs ireland
Collins Obuya (c),c Jones b Mooney,13,14,-,1,0,92.85,/cricketers/collins-obuya-24752,kenya vs ireland
Tanmay Mishra ,c †McCann b O'Brien,13,9,-,2,0,144.44,/cricketers/tanmay-mishra-24790,kenya vs ireland
Rakep Patel ,c Sorensen b Dockrell,27,22,-,2,2,122.72,/cricketers/rakep-patel-267455,kenya vs ireland
Ragheb Aga ,c Mooney b Sorensen,9,11,-,1,0,81.81,/cricketers/ragheb-aga-24716,kenya vs ireland
Alex Obanda ,not out ,14,10,-,1,1,140,/cricketers/alex-obanda-291844,kenya vs ireland
William Porterfield (c),c CO Obuya b Aga,23,22,-,3,1,104.54,/cricketers/william-porterfield-24611,kenya vs ireland
Paul Stirling ,not out ,65,52,-,9,0,125,/cricketers/paul-stirling-303427,kenya vs ireland
Morris Ouma †,c Johnston b Dockrell,4,6,-,1,0,66.66,/cricketers/morris-ouma-24750,kenya vs ireland
Duncan Allan ,c Johnston b Dockrell,4,8,-,1,0,50,/cricketers/duncan-allan-472153,kenya vs ireland
Collins Obuya (c),lbw b Rankin,3,5,11,0,0,60,/cricketers/collins-obuya-24752,kenya vs ireland
Tanmay Mishra ,c Mooney b Stirling,34,30,57,2,2,113.33,/cricketers/tanmay-mishra-24790,kenya vs ireland
Rakep Patel , b Sorensen,14,14,17,1,1,100,/cricketers/rakep-patel-267455,kenya vs ireland
Ragheb Aga ,run out (Porterfield),25,27,31,2,0,92.59,/cricketers/ragheb-aga-24716,kenya vs ireland
Alex Obanda ,c Joyce b Sorensen,2,3,-,0,0,66.66,/cricketers/alex-obanda-291844,kenya vs ireland
Nehemiah Odhiambo ,c Johnston b Cusack,13,13,18,1,0,100,/cricketers/nehemiah-odhiambo-238612,kenya vs ireland
Shem Ngoche ,c O'Brien b Dockrell,3,7,17,0,0,42.85,/cricketers/shem-ngoche-308515,kenya vs ireland
William Porterfield (c),run out (Patel),1,1,2,0,0,100,/cricketers/william-porterfield-24611,kenya vs ireland
Paul Stirling ,c Aga b JO Ngoche,12,15,16,2,0,80,/cricketers/paul-stirling-303427,kenya vs ireland
Alex Cusack ,c SO Ngoche b Odhiambo,14,11,15,2,0,127.27,/cricketers/alex-cusack-293983,kenya vs ireland
Kevin O'Brien ,not out ,30,36,36,3,0,83.33,/cricketers/kevin-o-brien-24605,kenya vs ireland
Richard Levi ,c Nicol b Franklin,11,7,9,1,1,157.14,/cricketers/richard-levi-46148,new-zealand vs south-africa
Hashim Amla ,c †BB McCullum b Bracewell,33,22,32,4,1,150,/cricketers/hashim-amla-43906,new-zealand vs south-africa
Albie Morkel ,c Nicol b Southee,10,9,11,0,1,111.11,/cricketers/albie-morkel-46248,new-zealand vs south-africa
AB de Villiers (c)†, b Nicol,29,23,40,2,1,126.08,/cricketers/ab-de-villiers-44936,new-zealand vs south-africa
Jean-Paul Duminy ,run out (Nicol),38,20,23,2,2,190,/cricketers/jean-paul-duminy-44932,new-zealand vs south-africa
Justin Ontong ,lbw b Nicol,6,5,7,1,0,120,/cricketers/justin-ontong-46681,new-zealand vs south-africa
Johan Botha ,c Guptill b Southee,2,7,12,0,0,28.57,/cricketers/johan-botha-44149,new-zealand vs south-africa
Rob Nicol ,c Levi b M Morkel,33,19,21,5,1,173.68,/cricketers/rob-nicol-38058,new-zealand vs south-africa
Martin Guptill ,c Amla b Botha,26,19,25,3,1,136.84,/cricketers/martin-guptill-226492,new-zealand vs south-africa
Jesse Ryder ,c M Morkel b Botha,52,42,56,5,2,123.8,/cricketers/jesse-ryder-38373,new-zealand vs south-africa
Brendon McCullum (c)†,c †de Villiers b Peterson,18,19,20,1,1,94.73,/cricketers/brendon-mccullum-37737,new-zealand vs south-africa
Kane Williamson ,c JA Morkel b M Morkel,6,9,13,0,0,66.66,/cricketers/kane-williamson-277906,new-zealand vs south-africa
James Franklin ,not out ,9,8,27,0,0,112.5,/cricketers/james-franklin-37004,new-zealand vs south-africa
Nathan McCullum ,c †de Villiers b de Lange,0,2,4,0,0,0,/cricketers/nathan-mccullum-37749,new-zealand vs south-africa
Rob Nicol ,run out (†de Villiers),23,17,18,3,1,135.29,/cricketers/rob-nicol-38058,new-zealand vs south-africa
Martin Guptill ,c JA Morkel b de Lange,47,35,48,7,1,134.28,/cricketers/martin-guptill-226492,new-zealand vs south-africa
Brendon McCullum (c)†,c Ontong b Botha,35,31,39,4,1,112.9,/cricketers/brendon-mccullum-37737,new-zealand vs south-africa
Kane Williamson ,not out ,28,20,30,1,2,140,/cricketers/kane-williamson-277906,new-zealand vs south-africa
Richard Levi ,not out ,117,51,67,5,13,229.41,/cricketers/richard-levi-46148,new-zealand vs south-africa
Hashim Amla ,c Franklin b NL McCullum,2,3,8,0,0,66.66,/cricketers/hashim-amla-43906,new-zealand vs south-africa
Richard Levi ,c Bracewell b Southee,13,12,25,1,1,108.33,/cricketers/richard-levi-46148,new-zealand vs south-africa
Hashim Amla ,run out (Guptill),19,15,12,2,1,126.66,/cricketers/hashim-amla-43906,new-zealand vs south-africa
Colin Ingram ,st †BB McCullum b NL McCullum,0,2,4,0,0,0,/cricketers/colin-ingram-45705,new-zealand vs south-africa
AB de Villiers (c)†,c Guptill b Hira,8,17,19,0,0,47.05,/cricketers/ab-de-villiers-44936,new-zealand vs south-africa
Jean-Paul Duminy ,c Mills b Southee,41,37,50,3,0,110.81,/cricketers/jean-paul-duminy-44932,new-zealand vs south-africa
Justin Ontong ,c & b Southee,32,17,25,0,4,188.23,/cricketers/justin-ontong-46681,new-zealand vs south-africa
Rob Nicol ,c Amla b Theron,13,18,30,1,0,72.22,/cricketers/rob-nicol-38058,new-zealand vs south-africa
Martin Guptill ,not out ,78,55,93,5,4,141.81,/cricketers/martin-guptill-226492,new-zealand vs south-africa
Brendon McCullum (c)†, b Duminy,16,17,26,0,0,94.11,/cricketers/brendon-mccullum-37737,new-zealand vs south-africa
Kane Williamson ,run out (JA Morkel),24,21,22,3,0,114.28,/cricketers/kane-williamson-277906,new-zealand vs south-africa
Hamilton Masakadza ,c de Grandhomme b Bates,62,42,52,3,4,147.61,/cricketers/hamilton-masakadza-55608,new-zealand vs zimbabwe
Stuart Matsikenyeri ,c Southee b Hira,32,19,28,2,3,168.42,/cricketers/stuart-matsikenyeri-55612,new-zealand vs zimbabwe
Rob Nicol ,c Meth b Chigumbura,56,37,42,4,4,151.35,/cricketers/rob-nicol-38058,new-zealand vs zimbabwe
James Franklin ,run out (Meth),60,37,60,3,5,162.16,/cricketers/james-franklin-37004,new-zealand vs zimbabwe
Brendon McCullum (c)†,c Waller b Jarvis,38,24,38,4,1,158.33,/cricketers/brendon-mccullum-37737,new-zealand vs zimbabwe
Colin de Grandhomme , b Chigumbura,8,7,10,1,0,114.28,/cricketers/colin-de-grandhomme-55395,new-zealand vs zimbabwe
Nathan McCullum ,c Chigumbura b Jarvis,5,6,11,0,0,83.33,/cricketers/nathan-mccullum-37749,new-zealand vs zimbabwe
Brendan Taylor (c), b Bates,3,6,7,0,0,50,/cricketers/brendan-taylor-55814,new-zealand vs zimbabwe
Hamilton Masakadza ,c Franklin b Williamson,53,36,40,3,3,147.22,/cricketers/hamilton-masakadza-55608,new-zealand vs zimbabwe
Forster Mutizwa ,c Guptill b Mills,0,3,4,0,0,0,/cricketers/forster-mutizwa-55641,new-zealand vs zimbabwe
Tatenda Taibu †,c Bracewell b NL McCullum,27,24,35,3,0,112.5,/cricketers/tatenda-taibu-55805,new-zealand vs zimbabwe
Malcolm Waller ,c Guptill b Mills,11,14,17,1,0,78.57,/cricketers/malcolm-waller-55872,new-zealand vs zimbabwe
Elton Chigumbura ,c Guptill b Bates,48,24,29,3,4,200,/cricketers/elton-chigumbura-55343,new-zealand vs zimbabwe
Shingi Masakadza , b Hira,8,7,11,1,0,114.28,/cricketers/shingi-masakadza-343529,new-zealand vs zimbabwe
Keegan Meth ,not out ,6,6,11,0,0,100,/cricketers/keegan-meth-232443,new-zealand vs zimbabwe
Rob Nicol , b Jarvis,12,8,6,2,0,150,/cricketers/rob-nicol-38058,new-zealand vs zimbabwe
Martin Guptill ,not out ,91,54,74,5,6,168.51,/cricketers/martin-guptill-226492,new-zealand vs zimbabwe
Brendon McCullum (c)†,c Chigumbura b Jarvis,0,1,1,0,0,0,/cricketers/brendon-mccullum-37737,new-zealand vs zimbabwe
David Warner ,c Gambhir b Kumar,8,8,10,1,0,100,/cricketers/david-warner-219889,australia vs india
Aaron Finch ,run out (Jadeja/†Dhoni),36,23,33,6,0,156.52,/cricketers/aaron-finch-5334,australia vs india
Shaun Marsh ,c †Dhoni b Kumar,0,2,1,0,0,0,/cricketers/shaun-marsh-6683,australia vs india
David Hussey ,c & b Jadeja,24,29,40,1,1,82.75,/cricketers/david-hussey-5766,australia vs india
George Bailey (c),run out (R Sharma/Jadeja),3,4,3,0,0,75,/cricketers/george-bailey-4451,australia vs india
Matthew Wade †,run out (RG Sharma),32,29,34,1,1,110.34,/cricketers/matthew-wade-230193,australia vs india
Mitchell Marsh ,st †Dhoni b R Sharma,13,13,12,2,0,100,/cricketers/mitchell-marsh-272450,australia vs india
Brett Lee ,not out ,6,4,13,1,0,150,/cricketers/brett-lee-6278,australia vs india
Clint McKay ,c †Dhoni b Vinay Kumar,0,1,1,0,0,0,/cricketers/clint-mckay-6903,australia vs india
Gautam Gambhir ,not out ,56,60,91,4,0,93.33,/cricketers/gautam-gambhir-28763,australia vs india
Virender Sehwag ,c SE Marsh b Hogg,23,16,32,2,1,143.75,/cricketers/virender-sehwag-35263,australia vs india
David Warner ,c Raina b Vinay Kumar,25,14,16,1,2,178.57,/cricketers/david-warner-219889,australia vs india
Matthew Wade †, b Raina,72,43,67,5,3,167.44,/cricketers/matthew-wade-230193,australia vs india
Travis Birt ,c Raina b Ashwin,17,21,27,1,1,80.95,/cricketers/travis-birt-4292,australia vs india
David Hussey , b R Sharma,42,30,42,1,3,140,/cricketers/david-hussey-5766,australia vs india
Gautam Gambhir ,c Marsh b Hussey,20,14,27,3,0,142.85,/cricketers/gautam-gambhir-28763,australia vs india
Virender Sehwag ,c Hussey b Lee,4,3,2,1,0,133.33,/cricketers/virender-sehwag-35263,australia vs india
Virat Kohli ,c Warner b Hogg,22,21,30,0,1,104.76,/cricketers/virat-kohli-253802,australia vs india
Suresh Raina , b Christian,14,15,23,1,0,93.33,/cricketers/suresh-raina-33335,australia vs india
Rohit Sharma , b Hussey,0,1,2,0,0,0,/cricketers/rohit-sharma-34102,australia vs india
MS Dhoni (c)†,not out ,48,43,55,1,3,111.62,/cricketers/ms-dhoni-28081,australia vs india
Kusal Perera ,run out (Saeed Ajmal/Sohail Tanvir),84,59,98,5,4,142.37,/cricketers/kusal-perera-300631,pakistan vs sri-lanka
Tillakaratne Dilshan ,c Umar Amin b Saeed Ajmal,48,33,53,8,0,145.45,/cricketers/tillakaratne-dilshan-48472,pakistan vs sri-lanka
Ahmed Shehzad ,c sub (KDK Vithanage) b Senanayake,8,10,14,1,0,80,/cricketers/ahmed-shehzad-259410,pakistan vs sri-lanka
Sharjeel Khan , b Prasanna,50,25,43,5,3,200,/cricketers/sharjeel-khan-227762,pakistan vs sri-lanka
Mohammad Hafeez (c),c †Sangakkara b Kulasekara,7,7,7,1,0,100,/cricketers/mohammad-hafeez-41434,pakistan vs sri-lanka
Sohaib Maqsood ,c Chandimal b NLTC Perera,15,16,16,2,0,93.75,/cricketers/sohaib-maqsood-43266,pakistan vs sri-lanka
Umar Akmal †, b Prasanna,0,1,7,0,0,0,/cricketers/umar-akmal-317273,pakistan vs sri-lanka
Shahid Afridi ,c †Sangakkara b NLTC Perera,28,13,22,2,2,215.38,/cricketers/shahid-afridi-42639,pakistan vs sri-lanka
Umar Amin ,c Chandimal b Senanayake,0,2,2,0,0,0,/cricketers/umar-amin-288211,pakistan vs sri-lanka
Bilawal Bhatti ,st †Sangakkara b Senanayake,0,1,1,0,0,0,/cricketers/bilawal-bhatti-343305,pakistan vs sri-lanka
Sohail Tanvir ,c Prasanna b Malinga,41,26,46,5,1,157.69,/cricketers/sohail-tanvir-43265,pakistan vs sri-lanka
Tillakaratne Dilshan ,c Ahmed Shehzad b Sohail Tanvir,7,8,9,1,0,87.5,/cricketers/tillakaratne-dilshan-48472,pakistan vs sri-lanka
Kusal Perera ,lbw b Saeed Ajmal,15,16,30,0,1,93.75,/cricketers/kusal-perera-300631,pakistan vs sri-lanka
Dinesh Chandimal (c),lbw b Shahid Afridi,22,22,36,3,0,100,/cricketers/dinesh-chandimal-300628,pakistan vs sri-lanka
Kumar Sangakkara †,c Shahid Afridi b Saeed Ajmal,21,22,30,1,0,95.45,/cricketers/kumar-sangakkara-50710,pakistan vs sri-lanka
Angelo Mathews ,c Sharjeel Khan b Sohail Tanvir,50,34,43,5,1,147.05,/cricketers/angelo-mathews-49764,pakistan vs sri-lanka
Sharjeel Khan ,c Dilshan b NLTC Perera,34,31,49,3,0,109.67,/cricketers/sharjeel-khan-227762,pakistan vs sri-lanka
