BATTER,Dismissal,R,B,M,4s,6s,SR,URL,Match
Chirag Suri , b Bhargava,0,6,-,0,0,0,/cricketers/chirag-suri-534734,singapore vs united
Vriitya Aravind †, b Baskaran,18,9,-,3,0,200,/cricketers/vriitya-aravind-1178586,singapore vs united
CP Rizwan (c),c Chandramohan b Puri,13,16,-,0,0,81.25,/cricketers/cp-rizwan-474760,singapore vs united
Aryan Lakra ,c Amjad Mahboob b Baskaran,9,6,-,0,1,150,/cricketers/aryan-lakra-1058989,singapore vs united
Basil Hameed ,run out (Chandramohan/†Aman Desai),38,28,-,0,2,135.71,/cricketers/basil-hameed-1209110,singapore vs united
Zawar Farid ,c †Aman Desai b Janak Prakash,11,12,-,1,0,91.66,/cricketers/zawar-farid-1196500,singapore vs united
Sultan Ahmed ,c †Aman Desai b Janak Prakash,0,2,-,0,0,0,/cricketers/sultan-ahmed-873769,singapore vs united
Aritra Dutta ,c Muhammad Waseem b Meiyappan,42,29,-,1,4,144.82,/cricketers/aritra-dutta-772311,singapore vs united
Surendran Chandramohan ,c †Aravind b Sabir Ali,0,5,-,0,0,0,/cricketers/surendran-chandramohan-1098903,singapore vs united
Rezza Gaznavi ,c Basil Hameed b Zawar Farid,14,19,-,2,0,73.68,/cricketers/rezza-gaznavi-307775,singapore vs united
Janak Prakash , b Meiyappan,14,16,-,0,0,87.5,/cricketers/janak-prakash-973799,singapore vs united
Aman Desai †,c Basil Hameed b Junaid Siddique,13,12,-,2,0,108.33,/cricketers/aman-desai-1048907,singapore vs united
Aryaman Sunil , b Meiyappan,0,1,-,0,0,0,/cricketers/aryaman-sunil-1048891,singapore vs united
Avi Dixit , b Junaid Siddique,6,10,-,0,0,60,/cricketers/avi-dixit-1048897,singapore vs united
Vinoth Baskaran ,c Zawar Farid b Sultan Ahmed,3,5,-,0,0,60,/cricketers/vinoth-baskaran-1195245,singapore vs united
Amjad Mahboob (c),c Rizwan b Basil Hameed,16,9,-,1,2,177.77,/cricketers/amjad-mahboob-554068,singapore vs united
Muhammad Waseem ,c Meet Bhavsar b Shiraz Khan,35,23,-,4,2,152.17,/cricketers/muhammad-waseem-1241277,kuwait vs united
Chirag Suri ,run out (Sandaruwan),88,61,-,9,2,144.26,/cricketers/chirag-suri-534734,kuwait vs united
Vriitya Aravind †,c Meet Bhavsar b Mohamed Shafeeq,33,29,-,2,0,113.79,/cricketers/vriitya-aravind-1178586,kuwait vs united
Zawar Farid ,c †Usman Patel b Sayed Monib,2,2,-,0,0,100,/cricketers/zawar-farid-1196500,kuwait vs united
Ravija Sandaruwan ,c Zawar Farid b Ahmed Raza,34,25,-,1,3,136,/cricketers/ravija-sandaruwan-429809,kuwait vs united
Meet Bhavsar ,st †Aravind b Basil Hameed,27,21,-,4,0,128.57,/cricketers/meet-bhavsar-1167770,kuwait vs united
Adnan Idrees , b Basil Hameed,0,1,-,0,0,0,/cricketers/adnan-idrees-307817,kuwait vs united
Usman Patel †,c Muhammad Waseem b Zahoor Khan,21,14,-,4,0,150,/cricketers/usman-patel-1217288,kuwait vs united
Shiraz Khan ,c †Aravind b Junaid Siddique,7,9,-,1,0,77.77,/cricketers/shiraz-khan-1192940,kuwait vs united
Bilal Tahir ,c †Aravind b Basil Hameed,9,8,-,1,0,112.5,/cricketers/bilal-tahir-796255,kuwait vs united
Mohammed Aslam (c),run out (Junaid Siddique),19,11,-,2,1,172.72,/cricketers/mohammed-aslam-359649,kuwait vs united
Edson Silva ,c sub (Sultan Ahmed) b Rohan Mustafa,25,14,-,2,2,178.57,/cricketers/edson-silva-1284531,kuwait vs united
Sayed Monib ,run out (Rohan Mustafa),8,8,-,1,0,100,/cricketers/sayed-monib-1217359,kuwait vs united
Nizakat Khan (c),lbw b Amjad Mahboob,0,3,-,0,0,0,/cricketers/nizakat-khan-350629,hong-kong vs singapore
Yasim Murtaza ,c Janak Prakash b Baskaran,26,28,-,2,1,92.85,/cricketers/yasim-murtaza-233904,hong-kong vs singapore
Babar Hayat , b Amjad Mahboob,6,5,-,0,0,120,/cricketers/babar-hayat-539304,hong-kong vs singapore
Kinchit Shah ,c Baskaran b Puri,34,32,-,2,0,106.25,/cricketers/kinchit-shah-401537,hong-kong vs singapore
Aizaz Khan ,c Rohan b Puri,4,7,-,0,0,57.14,/cricketers/aizaz-khan-401540,hong-kong vs singapore
Scott McKechnie †,lbw b Janak Prakash,11,12,-,0,0,91.66,/cricketers/scott-mckechnie-459752,hong-kong vs singapore
Zeeshan Ali ,c †Manpreet Singh b Aryaman Sunil,20,15,-,3,0,133.33,/cricketers/zeeshan-ali-386302,hong-kong vs singapore
Haroon Arshad ,not out ,27,14,-,3,0,192.85,/cricketers/haroon-arshad-1068983,hong-kong vs singapore
Rohan Rangarajan , b Ehsan Khan,8,11,-,1,0,72.72,/cricketers/rohan-rangarajan-775015,hong-kong vs singapore
Aritra Dutta ,run out (Haroon Arshad/†McKechnie),29,16,-,3,2,181.25,/cricketers/aritra-dutta-772311,hong-kong vs singapore
Rezza Gaznavi ,c †McKechnie b Mohammad Ghazanfar,17,14,-,2,0,121.42,/cricketers/rezza-gaznavi-307775,hong-kong vs singapore
Janak Prakash , b Mohammad Ghazanfar,31,32,-,4,0,96.87,/cricketers/janak-prakash-973799,hong-kong vs singapore
