BOWLER,O,M,R,W,Econ,WD,NB,URL,Match
Andile Phehlukwayo,3,0,24,4,8,5,1,/cricketers/andile-phehlukwayo-540316,south-africa vs sri-lanka
Dwaine Pretorius,1,0,12,1,12,0,0,/cricketers/dwaine-pretorius-327830,south-africa vs sri-lanka
Tabraiz Shamsi,4,0,20,0,5,4,0,/cricketers/tabraiz-shamsi-379145,south-africa vs sri-lanka
Lutho Sipamla,1.4,0,22,2,13.2,0,0,/cricketers/lutho-sipamla-698143,south-africa vs sri-lanka
Jason Kila,1,0,7,0,7,0,2,/cricketers/jason-kila-302875,papua-new-guinea vs vanuatu
Nosaina Pokana,2,0,4,1,2,0,0,/cricketers/nosaina-pokana-646181,papua-new-guinea vs vanuatu
Chad Soper,1,0,5,1,5,0,0,/cricketers/chad-soper-574287,papua-new-guinea vs vanuatu
Norman Vanua,2,0,8,1,4,0,0,/cricketers/norman-vanua-524253,papua-new-guinea vs vanuatu
Damien Ravu,1,0,4,1,4,1,0,/cricketers/damien-ravu-1122557,papua-new-guinea vs vanuatu
Charles Amini,3,0,11,1,3.66,0,0,/cricketers/charles-amini-332980,papua-new-guinea vs vanuatu
Lega Siaka,3,0,16,3,5.33,0,1,/cricketers/lega-siaka-440990,papua-new-guinea vs vanuatu
Wesley Viraliliu,2,0,34,0,17,1,0,/cricketers/wesley-viraliliu-1082732,papua-new-guinea vs vanuatu
Zechariah Shem,1,0,25,0,25,2,0,/cricketers/zechariah-shem-1118837,papua-new-guinea vs vanuatu
Nalin Nipiko,2,0,16,3,8,1,0,/cricketers/nalin-nipiko-420513,philippines vs vanuatu
Callum Blake,2,0,18,0,9,0,0,/cricketers/callum-blake-524269,philippines vs vanuatu
Jelany Chilia,1,0,11,0,11,0,0,/cricketers/jelany-chilia-420508,philippines vs vanuatu
Surinder Singh,1,0,8,0,8,1,0,/cricketers/surinder-singh-1167314,philippines vs vanuatu
Daniel Smith,2,0,8,1,4,0,0,/cricketers/daniel-smith-1082761,philippines vs vanuatu
Ruchir Mahajan,2,0,18,1,9,0,0,/cricketers/ruchir-mahajan-1082765,philippines vs vanuatu
Vimal Kumar,3,0,32,0,10.66,0,0,/cricketers/vimal-kumar-1082758,papua-new-guinea vs philippines
Surinder Singh,2,0,14,0,7,1,0,/cricketers/surinder-singh-1167314,papua-new-guinea vs philippines
Daniel Smith,2,0,36,0,18,1,0,/cricketers/daniel-smith-1082761,papua-new-guinea vs philippines
Haider Kiani,4,0,26,1,6.5,2,0,/cricketers/haider-kiani-1082766,papua-new-guinea vs philippines
Karweng NG,3,0,39,0,13,0,1,/cricketers/karweng-ng-1082755,papua-new-guinea vs philippines
Ruchir Mahajan,4,0,30,0,7.5,1,0,/cricketers/ruchir-mahajan-1082765,papua-new-guinea vs philippines
Jason Long,2,0,26,1,13,1,0,/cricketers/jason-long-1177728,papua-new-guinea vs philippines
Assad Vala,1,0,7,0,7,0,0,/cricketers/assad-vala-25056,papua-new-guinea vs philippines
Sese Bau,1,0,4,2,4,0,0,/cricketers/sese-bau-420427,papua-new-guinea vs philippines
Surinder Singh,4,0,32,3,8,3,1,/cricketers/surinder-singh-1167314,philippines vs vanuatu
Daniel Smith,4,0,26,1,6.5,2,0,/cricketers/daniel-smith-1082761,philippines vs vanuatu
Henry Tyler,4,0,29,0,7.25,1,1,/cricketers/henry-tyler-1082762,philippines vs vanuatu
Karweng NG,3,0,12,0,4,0,0,/cricketers/karweng-ng-1082755,philippines vs vanuatu
Grant Russ,2,0,33,0,16.5,1,1,/cricketers/grant-russ-1167316,philippines vs vanuatu
Jonathan Hill,3,0,23,1,7.66,0,0,/cricketers/jonathan-hill-1082763,philippines vs vanuatu
Simpson Obed,4,0,12,0,3,0,0,/cricketers/simpson-obed-302866,philippines vs vanuatu
Callum Blake,4,0,15,1,3.75,2,0,/cricketers/callum-blake-524269,philippines vs vanuatu
Nalin Nipiko,3,0,16,2,5.33,1,0,/cricketers/nalin-nipiko-420513,philippines vs vanuatu
Williamsing Nalisa,4,0,25,2,6.25,1,0,/cricketers/williamsing-nalisa-1082734,philippines vs vanuatu
Jelany Chilia,4,0,21,0,5.25,2,0,/cricketers/jelany-chilia-420508,philippines vs vanuatu
Andrew Mansale,1,0,4,0,4,0,0,/cricketers/andrew-mansale-275654,philippines vs vanuatu
Lasith Malinga,4,0,26,1,6.5,1,1,/cricketers/lasith-malinga-49758,south-africa vs sri-lanka
Isuru Udana,4,0,39,1,9.75,2,0,/cricketers/isuru-udana-328026,south-africa vs sri-lanka
Akila Dananjaya,4,0,31,1,7.75,0,0,/cricketers/akila-dananjaya-574178,south-africa vs sri-lanka
Jeffrey Vandersay,4,0,25,0,6.25,0,0,/cricketers/jeffrey-vandersay-370040,south-africa vs sri-lanka
Thisara Perera,3,0,45,0,15,0,0,/cricketers/thisara-perera-233514,south-africa vs sri-lanka
Kamindu Mendis,1,0,12,0,12,0,0,/cricketers/kamindu-mendis-784373,south-africa vs sri-lanka
Dale Steyn,3,0,34,2,11.33,0,0,/cricketers/dale-steyn-47492,south-africa vs sri-lanka
Chris Morris,4,1,32,3,8,1,0,/cricketers/chris-morris-439952,south-africa vs sri-lanka
Lutho Sipamla,4,0,42,0,10.5,0,0,/cricketers/lutho-sipamla-698143,south-africa vs sri-lanka
Dwaine Pretorius,4,0,22,1,5.5,2,0,/cricketers/dwaine-pretorius-327830,south-africa vs sri-lanka
Tabraiz Shamsi,4,0,16,2,4,0,0,/cricketers/tabraiz-shamsi-379145,south-africa vs sri-lanka
Jean-Paul Duminy,1,0,18,0,18,0,1,/cricketers/jean-paul-duminy-44932,south-africa vs sri-lanka
Jason Kila,2,0,11,0,5.5,0,0,/cricketers/jason-kila-302875,papua-new-guinea vs vanuatu
Nosaina Pokana,4,0,20,1,5,2,0,/cricketers/nosaina-pokana-646181,papua-new-guinea vs vanuatu
Norman Vanua,4,0,32,0,8,1,0,/cricketers/norman-vanua-524253,papua-new-guinea vs vanuatu
Damien Ravu,2,0,8,1,4,0,0,/cricketers/damien-ravu-1122557,papua-new-guinea vs vanuatu
Charles Amini,4,0,24,1,6,0,0,/cricketers/charles-amini-332980,papua-new-guinea vs vanuatu
John Reva,2,0,22,0,11,0,1,/cricketers/john-reva-332978,papua-new-guinea vs vanuatu
Lega Siaka,2,0,7,2,3.5,0,0,/cricketers/lega-siaka-440990,papua-new-guinea vs vanuatu
Simpson Obed,4,0,32,1,8,0,0,/cricketers/simpson-obed-302866,papua-new-guinea vs vanuatu
Callum Blake,2,0,16,0,8,1,1,/cricketers/callum-blake-524269,papua-new-guinea vs vanuatu
Nalin Nipiko,2,0,22,0,11,1,0,/cricketers/nalin-nipiko-420513,papua-new-guinea vs vanuatu
Jelany Chilia,3.2,0,25,0,7.5,0,0,/cricketers/jelany-chilia-420508,papua-new-guinea vs vanuatu
Williamsing Nalisa,4,0,29,1,7.25,1,0,/cricketers/williamsing-nalisa-1082734,papua-new-guinea vs vanuatu
Daniel Smith,3,0,19,1,6.33,0,0,/cricketers/daniel-smith-1082761,papua-new-guinea vs philippines
Surinder Singh,4,0,56,0,14,2,0,/cricketers/surinder-singh-1167314,papua-new-guinea vs philippines
Grant Russ,1,0,19,0,19,0,0,/cricketers/grant-russ-1167316,papua-new-guinea vs philippines
Ruchir Mahajan,4,0,45,1,11.25,0,0,/cricketers/ruchir-mahajan-1082765,papua-new-guinea vs philippines
Henry Tyler,2,0,19,0,9.5,1,1,/cricketers/henry-tyler-1082762,papua-new-guinea vs philippines
Karweng NG,3,0,30,0,10,0,1,/cricketers/karweng-ng-1082755,papua-new-guinea vs philippines
Jonathan Hill,3,0,27,2,9,1,0,/cricketers/jonathan-hill-1082763,papua-new-guinea vs philippines
Norman Vanua,2,0,7,0,3.5,0,0,/cricketers/norman-vanua-524253,papua-new-guinea vs philippines
Damien Ravu,2,0,11,0,5.5,0,1,/cricketers/damien-ravu-1122557,papua-new-guinea vs philippines
Chad Soper,2,0,6,2,3,1,0,/cricketers/chad-soper-574287,papua-new-guinea vs philippines
Jason Kila,4,0,11,1,2.75,0,0,/cricketers/jason-kila-302875,papua-new-guinea vs philippines
Charles Amini,4,0,13,1,3.25,1,0,/cricketers/charles-amini-332980,papua-new-guinea vs philippines
John Reva,2,0,5,1,2.5,0,0,/cricketers/john-reva-332978,papua-new-guinea vs philippines
Lega Siaka,4,0,18,2,4.5,2,0,/cricketers/lega-siaka-440990,papua-new-guinea vs philippines
Dale Steyn,4,1,25,1,6.25,0,0,/cricketers/dale-steyn-47492,south-africa vs sri-lanka
Kagiso Rabada,4,0,42,1,10.5,4,0,/cricketers/kagiso-rabada-550215,south-africa vs sri-lanka
Lutho Sipamla,4,0,19,1,4.75,0,0,/cricketers/lutho-sipamla-698143,south-africa vs sri-lanka
Imran Tahir,4,0,21,1,5.25,1,0,/cricketers/imran-tahir-40618,south-africa vs sri-lanka
Andile Phehlukwayo,4,0,25,3,6.25,1,0,/cricketers/andile-phehlukwayo-540316,south-africa vs sri-lanka
Lasith Malinga,4,0,11,2,2.75,0,0,/cricketers/lasith-malinga-49758,south-africa vs sri-lanka
Dhananjaya de Silva,4,0,28,1,7,0,0,/cricketers/dhananjaya-de-silva-465793,south-africa vs sri-lanka
Akila Dananjaya,4,0,28,1,7,0,0,/cricketers/akila-dananjaya-574178,south-africa vs sri-lanka
Jeffrey Vandersay,4,0,25,1,6.25,1,0,/cricketers/jeffrey-vandersay-370040,south-africa vs sri-lanka
Kamindu Mendis,1,0,9,0,9,0,0,/cricketers/kamindu-mendis-784373,south-africa vs sri-lanka
Isuru Udana,3,0,32,0,10.66,0,0,/cricketers/isuru-udana-328026,south-africa vs sri-lanka
Elmore Hutchinson,3,0,20,0,6.66,0,0,/cricketers/elmore-hutchinson-552881,united-arab-emirates vs united
Jasdeep Singh,4,0,43,1,10.75,0,0,/cricketers/jasdeep-singh-772471,united-arab-emirates vs united
Saurabh Netravalkar,4,0,28,2,7,0,0,/cricketers/saurabh-netravalkar-398513,united-arab-emirates vs united
Roy Silva,2,0,19,0,9.5,0,0,/cricketers/roy-silva-50671,united-arab-emirates vs united
Timil Patel,4,0,45,2,11.25,0,0,/cricketers/timil-patel-32257,united-arab-emirates vs united
Hayden Walsh,3,0,21,2,7,0,0,/cricketers/hayden-walsh-443263,united-arab-emirates vs united
Mohammad Naveed,4,0,36,0,9,1,0,/cricketers/mohammad-naveed-533862,united-arab-emirates vs united
Sultan Ahmed,4,0,33,3,8.25,4,0,/cricketers/sultan-ahmed-873769,united-arab-emirates vs united
Zahoor Khan,4,0,22,2,5.5,0,0,/cricketers/zahoor-khan-384525,united-arab-emirates vs united
Ahmed Raza,4,0,39,0,9.75,2,0,/cricketers/ahmed-raza-245490,united-arab-emirates vs united
Rohan Mustafa,4,0,22,1,5.5,1,0,/cricketers/rohan-mustafa-307808,united-arab-emirates vs united
Mohammad Naveed,3,0,38,1,12.66,0,1,/cricketers/mohammad-naveed-533862,united-arab-emirates vs united
Sultan Ahmed,3,0,26,1,8.66,1,0,/cricketers/sultan-ahmed-873769,united-arab-emirates vs united
Rohan Mustafa,3,0,26,0,8.66,0,0,/cricketers/rohan-mustafa-307808,united-arab-emirates vs united
Zahoor Khan,3,0,30,2,10,0,0,/cricketers/zahoor-khan-384525,united-arab-emirates vs united
Ahmed Raza,1,0,13,0,13,0,0,/cricketers/ahmed-raza-245490,united-arab-emirates vs united
Ashfaq Ahmed,2,0,14,1,7,0,0,/cricketers/ashfaq-ahmed-39940,united-arab-emirates vs united
Jasdeep Singh,2,0,18,2,9,2,0,/cricketers/jasdeep-singh-772471,united-arab-emirates vs united
Saurabh Netravalkar,1.3,0,11,0,7.33,0,0,/cricketers/saurabh-netravalkar-398513,united-arab-emirates vs united
David Willey,3,0,7,4,2.33,0,0,/cricketers/david-willey-308251,west-indies vs england
Tom Curran,1,0,8,0,8,0,0,/cricketers/tom-curran-550235,west-indies vs england
Chris Jordan,2,0,14,0,7,1,0,/cricketers/chris-jordan-288992,west-indies vs england
Joe Denly,2,0,14,1,7,0,0,/cricketers/joe-denly-12454,west-indies vs england
Mark Wood,3,0,9,3,3,0,0,/cricketers/mark-wood-351588,west-indies vs england
Adil Rashid,2,0,18,2,9,0,0,/cricketers/adil-rashid-244497,west-indies vs england
Sheldon Cottrell,1,0,16,0,16,0,0,/cricketers/sheldon-cottrell-495551,west-indies vs england
Fabian Allen,4,1,25,0,6.25,0,0,/cricketers/fabian-allen-670013,west-indies vs england
Jason Holder,3,0,19,1,6.33,1,0,/cricketers/jason-holder-391485,west-indies vs england
Devendra Bishoo,1.3,1,11,1,7.33,0,0,/cricketers/devendra-bishoo-341593,west-indies vs england
John Campbell,1,0,1,0,1,0,0,/cricketers/john-campbell-348026,west-indies vs england
Sheldon Cottrell,3,0,28,1,9.33,0,0,/cricketers/sheldon-cottrell-495551,west-indies vs england
Jason Holder,4,0,29,0,7.25,0,0,/cricketers/jason-holder-391485,west-indies vs england
Fabian Allen,4,0,29,2,7.25,0,0,/cricketers/fabian-allen-670013,west-indies vs england
Carlos Brathwaite,4,0,33,1,8.25,1,0,/cricketers/carlos-brathwaite-457249,west-indies vs england
Devendra Bishoo,2,0,17,0,8.5,0,0,/cricketers/devendra-bishoo-341593,west-indies vs england
Obed McCoy,3,0,44,1,14.66,0,0,/cricketers/obed-mccoy-906783,west-indies vs england
David Willey,3,0,18,2,6,0,0,/cricketers/david-willey-308251,west-indies vs england
Tom Curran,1,0,1,0,1,0,0,/cricketers/tom-curran-550235,west-indies vs england
Chris Jordan,2,0,6,4,3,0,0,/cricketers/chris-jordan-288992,west-indies vs england
Adil Rashid,3,0,12,2,4,0,0,/cricketers/adil-rashid-244497,west-indies vs england
Liam Plunkett,2.5,0,8,2,2.82,0,0,/cricketers/liam-plunkett-19264,west-indies vs england
David Willey,2,0,20,0,10,1,0,/cricketers/david-willey-308251,west-indies vs england
Tom Curran,4,0,36,4,9,2,0,/cricketers/tom-curran-550235,west-indies vs england
Chris Jordan,3,0,16,2,5.33,2,0,/cricketers/chris-jordan-288992,west-indies vs england
Adil Rashid,4,0,15,1,3.75,1,0,/cricketers/adil-rashid-244497,west-indies vs england
Liam Plunkett,4,0,44,0,11,3,0,/cricketers/liam-plunkett-19264,west-indies vs england
Joe Denly,3,0,28,1,9.33,1,0,/cricketers/joe-denly-12454,west-indies vs england
Sheldon Cottrell,3.5,0,29,3,7.56,3,0,/cricketers/sheldon-cottrell-495551,west-indies vs england
Oshane Thomas,2,0,18,0,9,1,0,/cricketers/oshane-thomas-914567,west-indies vs england
Ashley Nurse,4,0,32,1,8,0,0,/cricketers/ashley-nurse-315594,west-indies vs england
Jason Holder,4,0,26,1,6.5,2,0,/cricketers/jason-holder-391485,west-indies vs england
Carlos Brathwaite,4,0,33,1,8.25,2,0,/cricketers/carlos-brathwaite-457249,west-indies vs england
Fabian Allen,1,0,8,0,8,0,0,/cricketers/fabian-allen-670013,west-indies vs england
Jason Behrendorff,3,0,17,1,5.66,0,0,/cricketers/jason-behrendorff-272477,india vs australia
Jhye Richardson,4,0,45,0,11.25,1,0,/cricketers/jhye-richardson-774223,india vs australia
Nathan Coulter-Nile,3,0,33,1,11,2,0,/cricketers/nathan-coulter-nile-261354,india vs australia
Pat Cummins,3,0,40,1,13.33,2,0,/cricketers/pat-cummins-489889,india vs australia
Adam Zampa,4,0,23,0,5.75,0,0,/cricketers/adam-zampa-379504,india vs australia
D'Arcy Short,3,0,29,1,9.66,0,0,/cricketers/d-arcy-short-308798,india vs australia
Vijay Shankar,4,0,38,2,9.5,1,0,/cricketers/vijay-shankar-477021,india vs australia
Jasprit Bumrah,4,0,30,0,7.5,0,0,/cricketers/jasprit-bumrah-625383,india vs australia
Siddarth Kaul,3.4,0,45,1,12.27,0,1,/cricketers/siddarth-kaul-326017,india vs australia
Yuzvendra Chahal,4,0,47,0,11.75,2,0,/cricketers/yuzvendra-chahal-430246,india vs australia
Krunal Pandya,4,0,33,0,8.25,1,0,/cricketers/krunal-pandya-471342,india vs australia
Jason Behrendorff,3,0,16,1,5.33,0,0,/cricketers/jason-behrendorff-272477,india vs australia
Jhye Richardson,4,0,31,0,7.75,1,0,/cricketers/jhye-richardson-774223,india vs australia
Nathan Coulter-Nile,4,0,26,3,6.5,1,0,/cricketers/nathan-coulter-nile-261354,india vs australia
Adam Zampa,3,0,22,1,7.33,2,0,/cricketers/adam-zampa-379504,india vs australia
Pat Cummins,4,0,19,1,4.75,1,0,/cricketers/pat-cummins-489889,india vs australia
D'Arcy Short,2,0,10,0,5,0,0,/cricketers/d-arcy-short-308798,india vs australia
Jasprit Bumrah,4,0,16,3,4,0,0,/cricketers/jasprit-bumrah-625383,india vs australia
Yuzvendra Chahal,4,0,28,1,7,0,0,/cricketers/yuzvendra-chahal-430246,india vs australia
Umesh Yadav,4,0,35,0,8.75,2,0,/cricketers/umesh-yadav-376116,india vs australia
Krunal Pandya,4,0,17,1,4.25,0,0,/cricketers/krunal-pandya-471342,india vs australia
Mayank Markande,4,0,31,0,7.75,0,0,/cricketers/mayank-markande-1081442,india vs australia
Simi Singh,1,0,5,0,5,0,0,/cricketers/simi-singh-1005257,afghanistan vs ireland
Boyd Rankin,4,0,53,3,13.25,2,0,/cricketers/boyd-rankin-24599,afghanistan vs ireland
Peter Chase,4,0,38,1,9.5,2,0,/cricketers/peter-chase-524845,afghanistan vs ireland
Josh Little,3,0,45,0,15,2,0,/cricketers/josh-little-928067,afghanistan vs ireland
Stuart Thompson,2,0,16,0,8,1,0,/cricketers/stuart-thompson-414821,afghanistan vs ireland
George Dockrell,4,0,26,1,6.5,0,0,/cricketers/george-dockrell-348034,afghanistan vs ireland
Shane Getkate,2,0,21,1,10.5,1,0,/cricketers/shane-getkate-303508,afghanistan vs ireland
Ziaur Rahman,4,0,42,2,10.5,2,0,/cricketers/ziaur-rahman-1015399,afghanistan vs ireland
Sayed Shirzad,4,0,42,0,10.5,0,0,/cricketers/sayed-shirzad-524050,afghanistan vs ireland
Sharafuddin Ashraf,4,0,39,0,9.75,1,0,/cricketers/sharafuddin-ashraf-633362,afghanistan vs ireland
Mohammad Nabi,4,0,28,0,7,0,0,/cricketers/mohammad-nabi-25913,afghanistan vs ireland
Rashid Khan,4,0,27,5,6.75,2,0,/cricketers/rashid-khan-793463,afghanistan vs ireland
Josh Little,4,0,49,1,12.25,1,0,/cricketers/josh-little-928067,afghanistan vs ireland
Boyd Rankin,4,0,35,1,8.75,0,0,/cricketers/boyd-rankin-24599,afghanistan vs ireland
Peter Chase,3,0,43,1,14.33,0,0,/cricketers/peter-chase-524845,afghanistan vs ireland
George Dockrell,2,0,24,0,12,1,0,/cricketers/george-dockrell-348034,afghanistan vs ireland
Shane Getkate,3,0,48,0,16,3,0,/cricketers/shane-getkate-303508,afghanistan vs ireland
Simi Singh,1,0,16,0,16,1,0,/cricketers/simi-singh-1005257,afghanistan vs ireland
Paul Stirling,1,0,24,0,24,4,0,/cricketers/paul-stirling-303427,afghanistan vs ireland
Kevin O'Brien,2,0,35,0,17.5,4,0,/cricketers/kevin-o-brien-24605,afghanistan vs ireland
Mujeeb Ur Rahman,4,0,30,1,7.5,3,0,/cricketers/mujeeb-ur-rahman-974109,afghanistan vs ireland
Fareed Ahmad,3,0,45,1,15,1,0,/cricketers/fareed-ahmad-568136,afghanistan vs ireland
Mohammad Nabi,3,0,36,0,12,1,0,/cricketers/mohammad-nabi-25913,afghanistan vs ireland
Karim Janat,4,0,30,0,7.5,1,0,/cricketers/karim-janat-793467,afghanistan vs ireland
Samiullah Shinwari,2,0,28,0,14,0,0,/cricketers/samiullah-shinwari-318339,afghanistan vs ireland
Rashid Khan,4,0,25,4,6.25,0,0,/cricketers/rashid-khan-793463,afghanistan vs ireland
Mujeeb Ur Rahman,4,0,20,1,5,0,0,/cricketers/mujeeb-ur-rahman-974109,afghanistan vs ireland
Fareed Ahmad,4,0,34,0,8.5,0,0,/cricketers/fareed-ahmad-568136,afghanistan vs ireland
Karim Janat,3,0,29,1,9.66,1,0,/cricketers/karim-janat-793467,afghanistan vs ireland
Mohammad Nabi,4,0,16,2,4,0,0,/cricketers/mohammad-nabi-25913,afghanistan vs ireland
Rashid Khan,4,0,21,2,5.25,0,0,/cricketers/rashid-khan-793463,afghanistan vs ireland
Sharafuddin Ashraf,1,0,6,0,6,0,0,/cricketers/sharafuddin-ashraf-633362,afghanistan vs ireland
Boyd Rankin,4,0,39,2,9.75,0,0,/cricketers/boyd-rankin-24599,afghanistan vs ireland
Peter Chase,3.2,0,27,1,8.1,4,0,/cricketers/peter-chase-524845,afghanistan vs ireland
Josh Little,4,0,28,1,7,1,0,/cricketers/josh-little-928067,afghanistan vs ireland
Stuart Thompson,2.3,0,12,0,4.8,1,0,/cricketers/stuart-thompson-414821,afghanistan vs ireland
Shane Getkate,4,0,21,1,5.25,1,0,/cricketers/shane-getkate-303508,afghanistan vs ireland
Simi Singh,0.3,0,1,0,2,0,0,/cricketers/simi-singh-1005257,afghanistan vs ireland
George Dockrell,1,0,7,0,7,0,0,/cricketers/george-dockrell-348034,afghanistan vs ireland
Alasdair Evans,3.3,1,10,2,2.85,2,1,/cricketers/alasdair-evans-399259,oman vs scotland
Safyaan Sharif,4,0,29,0,7.25,0,1,/cricketers/safyaan-sharif-414970,oman vs scotland
Adrian Neill,4,0,21,3,5.25,2,0,/cricketers/adrian-neill-1148466,oman vs scotland
Richie Berrington,4,0,30,0,7.5,3,0,/cricketers/richie-berrington-25490,oman vs scotland
Mark Watt,4,0,20,3,5,0,0,/cricketers/mark-watt-659081,oman vs scotland
Bilal Khan,4,0,35,1,8.75,2,0,/cricketers/bilal-khan-937953,oman vs scotland
Fayyaz Butt,2.3,0,12,0,4.8,2,0,/cricketers/fayyaz-butt-436749,oman vs scotland
Mohammad Nadeem,4,0,25,2,6.25,0,0,/cricketers/mohammad-nadeem-41984,oman vs scotland
Sandeep Goud,2,0,12,0,6,0,0,/cricketers/sandeep-goud-1174024,oman vs scotland
Wasim Ali,2,0,16,0,8,0,0,/cricketers/wasim-ali-1058938,oman vs scotland
Sufyan Mehmood,1,0,9,0,9,0,0,/cricketers/sufyan-mehmood-402066,oman vs scotland
Peter Chase,2,0,32,0,16,2,2,/cricketers/peter-chase-524845,ireland vs netherlands
Josh Little,4,0,36,0,9,0,0,/cricketers/josh-little-928067,ireland vs netherlands
Boyd Rankin,3,0,27,2,9,0,0,/cricketers/boyd-rankin-24599,ireland vs netherlands
George Dockrell,3,0,26,1,8.66,4,0,/cricketers/george-dockrell-348034,ireland vs netherlands
Simi Singh,1,0,17,0,17,0,0,/cricketers/simi-singh-1005257,ireland vs netherlands
Shane Getkate,1,0,12,0,12,0,0,/cricketers/shane-getkate-303508,ireland vs netherlands
Paul Stirling,3,0,13,1,4.33,0,0,/cricketers/paul-stirling-303427,ireland vs netherlands
Stuart Thompson,3,0,18,4,6,0,0,/cricketers/stuart-thompson-414821,ireland vs netherlands
Fred Klaassen,4,0,31,3,7.75,0,0,/cricketers/fred-klaassen-1104703,ireland vs netherlands
Paul van Meekeren,4,0,38,4,9.5,1,0,/cricketers/paul-van-meekeren-348109,ireland vs netherlands
Timm van der Gugten,4,0,36,0,9,0,0,/cricketers/timm-van-der-gugten-333782,ireland vs netherlands
Roelof van der Merwe,4,0,35,0,8.75,0,0,/cricketers/roelof-van-der-merwe-47850,ireland vs netherlands
Pieter Seelaar,3,0,32,0,10.66,0,0,/cricketers/pieter-seelaar-208657,ireland vs netherlands
Sikander Zulfiqar,1,0,9,1,9,0,0,/cricketers/sikander-zulfiqar-526482,ireland vs netherlands
Alasdair Evans,4,0,48,1,12,1,0,/cricketers/alasdair-evans-399259,ireland vs scotland
Safyaan Sharif,4,0,35,1,8.75,0,0,/cricketers/safyaan-sharif-414970,ireland vs scotland
Ruaidhri Smith,3,0,30,0,10,0,0,/cricketers/ruaidhri-smith-458897,ireland vs scotland
Richie Berrington,4,0,26,0,6.5,0,0,/cricketers/richie-berrington-25490,ireland vs scotland
Mark Watt,4,0,26,3,6.5,1,0,/cricketers/mark-watt-659081,ireland vs scotland
Michael Leask,1,0,14,0,14,0,0,/cricketers/michael-leask-414966,ireland vs scotland
Simi Singh,2,0,19,0,9.5,0,0,/cricketers/simi-singh-1005257,ireland vs scotland
Boyd Rankin,4,0,39,1,9.75,0,0,/cricketers/boyd-rankin-24599,ireland vs scotland
Josh Little,4,0,33,0,8.25,0,0,/cricketers/josh-little-928067,ireland vs scotland
Peter Chase,3.3,0,40,1,11.42,0,1,/cricketers/peter-chase-524845,ireland vs scotland
George Dockrell,3,0,35,0,11.66,1,0,/cricketers/george-dockrell-348034,ireland vs scotland
Shane Getkate,2,0,15,2,7.5,0,0,/cricketers/shane-getkate-303508,ireland vs scotland
Paul van Meekeren,4,0,40,0,10,2,0,/cricketers/paul-van-meekeren-348109,oman vs netherlands
Fred Klaassen,4,0,26,1,6.5,2,0,/cricketers/fred-klaassen-1104703,oman vs netherlands
Shane Snater,3,0,39,1,13,0,0,/cricketers/shane-snater-696143,oman vs netherlands
Pieter Seelaar,4,0,38,0,9.5,0,0,/cricketers/pieter-seelaar-208657,oman vs netherlands
Roelof van der Merwe,4,0,14,2,3.5,0,0,/cricketers/roelof-van-der-merwe-47850,oman vs netherlands
Sikander Zulfiqar,1,0,8,0,8,0,0,/cricketers/sikander-zulfiqar-526482,oman vs netherlands
Bilal Khan,3.5,0,33,0,8.6,0,0,/cricketers/bilal-khan-937953,oman vs netherlands
Ajay Lalcheta,1,0,9,0,9,0,0,/cricketers/ajay-lalcheta-543449,oman vs netherlands
Fayyaz Butt,3,0,26,0,8.66,1,0,/cricketers/fayyaz-butt-436749,oman vs netherlands
Mohammad Nadeem,2,0,11,0,5.5,0,0,/cricketers/mohammad-nadeem-41984,oman vs netherlands
Khawar Ali,1,0,10,0,10,0,0,/cricketers/khawar-ali-585081,oman vs netherlands
Jay Odedra,4,0,36,0,9,0,0,/cricketers/jay-odedra-1136106,oman vs netherlands
Sandeep Goud,4,0,36,2,9,0,0,/cricketers/sandeep-goud-1174024,oman vs netherlands
Bilal Khan,4,0,23,0,5.75,0,0,/cricketers/bilal-khan-937953,oman vs ireland
Ajay Lalcheta,4,0,28,1,7,0,0,/cricketers/ajay-lalcheta-543449,oman vs ireland
Aamir Kaleem,1,0,18,0,18,0,0,/cricketers/aamir-kaleem-455463,oman vs ireland
Fayyaz Butt,4,0,19,2,4.75,0,0,/cricketers/fayyaz-butt-436749,oman vs ireland
Mohammad Nadeem,4,0,31,0,7.75,0,0,/cricketers/mohammad-nadeem-41984,oman vs ireland
Khawar Ali,1,0,10,0,10,0,0,/cricketers/khawar-ali-585081,oman vs ireland
Jay Odedra,2,0,28,0,14,0,0,/cricketers/jay-odedra-1136106,oman vs ireland
Boyd Rankin,4,0,34,0,8.5,3,0,/cricketers/boyd-rankin-24599,oman vs ireland
Peter Chase,4,0,42,2,10.5,1,1,/cricketers/peter-chase-524845,oman vs ireland
Josh Little,4,0,24,2,6,1,1,/cricketers/josh-little-928067,oman vs ireland
George Dockrell,3,0,20,2,6.66,0,0,/cricketers/george-dockrell-348034,oman vs ireland
Simi Singh,3,0,15,3,5,2,0,/cricketers/simi-singh-1005257,oman vs ireland
Shane Getkate,2,0,7,0,3.5,0,0,/cricketers/shane-getkate-303508,oman vs ireland
Fred Klaassen,4,0,38,2,9.5,0,0,/cricketers/fred-klaassen-1104703,netherlands vs scotland
Timm van der Gugten,4,0,35,2,8.75,2,0,/cricketers/timm-van-der-gugten-333782,netherlands vs scotland
Shane Snater,4,0,32,1,8,0,0,/cricketers/shane-snater-696143,netherlands vs scotland
Roelof van der Merwe,4,0,22,0,5.5,0,0,/cricketers/roelof-van-der-merwe-47850,netherlands vs scotland
