BOWLER,O,M,R,W,Econ,WD,NB,URL,Match
Monde Zondeki,3,0,41,1,13.66,3,0,/cricketers/monde-zondeki-48112,australia vs south-africa
Andrew Hall,4,0,38,0,9.5,0,0,/cricketers/andrew-hall-45396,australia vs south-africa
Johan Botha,4,0,43,1,10.75,0,0,/cricketers/johan-botha-44149,australia vs south-africa
Jacques Kallis,1,0,17,0,17,0,0,/cricketers/jacques-kallis-45789,australia vs south-africa
Nathan Bracken,3,0,9,2,3,0,0,/cricketers/nathan-bracken-4185,australia vs south-africa
Mick Lewis,3.3,0,18,2,5.14,0,0,/cricketers/mick-lewis-6291,australia vs south-africa
Stuart Clark,4,0,35,1,8.75,0,0,/cricketers/stuart-clark-4582,australia vs south-africa
James Hopes,4,0,26,2,6.5,0,0,/cricketers/james-hopes-5702,australia vs south-africa
Andrew Symonds,4,0,26,2,6.5,1,0,/cricketers/andrew-symonds-7702,australia vs south-africa
Daren Powell,3,0,6,1,2,1,0,/cricketers/daren-powell-52790,south-africa vs west-indies
Jerome Taylor,3,1,6,3,2,1,0,/cricketers/jerome-taylor-53191,south-africa vs west-indies
Dwayne Bravo,2,0,16,0,8,0,0,/cricketers/dwayne-bravo-51439,south-africa vs west-indies
Fidel Edwards,3,0,14,1,4.66,3,1,/cricketers/fidel-edwards-51782,south-africa vs west-indies
Daren Sammy,2,0,9,1,4.5,0,0,/cricketers/daren-sammy-53115,south-africa vs west-indies
Shaun Pollock,2,0,19,1,9.5,0,0,/cricketers/shaun-pollock-46774,south-africa vs west-indies
Makhaya Ntini,3,0,16,0,5.33,0,0,/cricketers/makhaya-ntini-46592,south-africa vs west-indies
Dale Steyn,3,0,9,4,3,0,0,/cricketers/dale-steyn-47492,south-africa vs west-indies
Albie Morkel,1,0,5,0,5,0,0,/cricketers/albie-morkel-46248,south-africa vs west-indies
Vernon Philander,0.5,0,10,0,12,1,0,/cricketers/vernon-philander-46945,south-africa vs west-indies
Kyle Mills,4,0,35,0,8.75,1,0,/cricketers/kyle-mills-37740,australia vs new-zealand
Mark Gillespie,4,1,39,2,9.75,0,1,/cricketers/mark-gillespie-37111,australia vs new-zealand
Jacob Oram,3,0,32,0,10.66,0,0,/cricketers/jacob-oram-38062,australia vs new-zealand
Jeetan Patel,4,0,40,2,10,0,0,/cricketers/jeetan-patel-38141,australia vs new-zealand
Daniel Vettori,4,0,24,1,6,0,0,/cricketers/daniel-vettori-38710,australia vs new-zealand
Scott Styris,1,0,14,0,14,0,0,/cricketers/scott-styris-38407,australia vs new-zealand
Brett Lee,4,0,17,2,4.25,1,1,/cricketers/brett-lee-6278,australia vs new-zealand
Nathan Bracken,2,0,8,0,4,2,0,/cricketers/nathan-bracken-4185,australia vs new-zealand
Mitchell Johnson,3,0,19,2,6.33,1,0,/cricketers/mitchell-johnson-6033,australia vs new-zealand
Shaun Tait,4,0,22,2,5.5,1,0,/cricketers/shaun-tait-8076,australia vs new-zealand
Ashley Noffke,3.3,1,18,3,5.14,1,0,/cricketers/ashley-noffke-6938,australia vs new-zealand
Andrew Symonds,2,0,39,0,19.5,0,0,/cricketers/andrew-symonds-7702,australia vs new-zealand
Shaun Pollock,4,0,28,3,7,1,0,/cricketers/shaun-pollock-46774,south-africa vs new-zealand
Dale Steyn,4,0,17,1,4.25,0,0,/cricketers/dale-steyn-47492,south-africa vs new-zealand
Charl Langeveldt,4,0,33,0,8.25,3,0,/cricketers/charl-langeveldt-45963,south-africa vs new-zealand
Albie Morkel,4,0,29,2,7.25,2,0,/cricketers/albie-morkel-46248,south-africa vs new-zealand
Johan Botha,4,0,19,1,4.75,0,0,/cricketers/johan-botha-44149,south-africa vs new-zealand
Kyle Mills,3.5,0,34,1,8.86,0,0,/cricketers/kyle-mills-37740,south-africa vs new-zealand
Mark Gillespie,4,0,22,1,5.5,2,0,/cricketers/mark-gillespie-37111,south-africa vs new-zealand
Daniel Vettori,4,0,24,1,6,0,0,/cricketers/daniel-vettori-38710,south-africa vs new-zealand
Michael Mason,3,0,28,0,9.33,0,1,/cricketers/michael-mason-37701,south-africa vs new-zealand
Jeetan Patel,4,0,17,2,4.25,0,0,/cricketers/jeetan-patel-38141,south-africa vs new-zealand
Scott Styris,1,0,4,1,4,0,0,/cricketers/scott-styris-38407,south-africa vs new-zealand
RP Singh,4,0,39,1,9.75,1,0,/cricketers/rp-singh-35280,india vs australia
Sreesanth,4,0,47,0,11.75,2,0,/cricketers/sreesanth-34274,india vs australia
Irfan Pathan,4,0,34,2,8.5,0,0,/cricketers/irfan-pathan-32685,india vs australia
Harbhajan Singh,4,0,17,1,4.25,0,0,/cricketers/harbhajan-singh-29264,india vs australia
